Gene,ARPE-19_log2FC,iPSC-RPE_log2FC,Direction_Consistency
LMNA,0.6009567142857135,0.9086662210677005,Concordant
BRD4,1.460871444444444,-0.6606256029767401,Discordant
EIF4G1,1.3608122222222212,-0.2617905548294512,Discordant
GANAB,0.9102576666666664,-1.3204301277837478,Discordant
ITGA3,1.1423637777777775,-0.8698630793304007,Discordant
MBOAT7,0.5461274444444453,-0.7762102361491044,Discordant
NSD2,0.3882680833333338,-0.39222927449241335,Discordant
PTPRF,1.0903768333333332,-1.910175828609693,Discordant
SLC2A1,0.688136777777777,-1.462668391794234,Discordant
SMARCA4,0.9111668888888893,-0.22546991596176538,Discordant
STAT2,0.5857911333333335,-0.9966717670308436,Discordant
WDR1,0.8601749444444448,-0.06471480714363666,Discordant
